관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월,위도,경도
서울특별시 서초구청,서울특별시 서초구 방배중앙로188,서울특별시 서초구 방배본동 760-2,교통단속,1,2017-11,37.4953680000,126.9859210000
서울특별시 서초구청,서울특별시 서초구 잠원동 30-10 삼거리,서울특별시 서초구 잠원동 30-10,생활방범,5,2017-12,37.5134850000,127.0182000000
서울특별시 서초구청,서울특별시 서초구 나루터로 69 삼거리,서울특별시 서초구 잠원동 15-4,생활방범,3,2017-12,37.5159970000,127.0174590000
서울특별시 서초구청,서울특별시 서초구 신반포로 45,서울특별시 서초구 반포동 806,생활방범,5,2017-08,37.5037020000,126.9890210000
서울특별시 서초구청,서울특별시 서초구 신반포로 32,서울특별시 서초구 반포본동 1088,생활방범,5,2017-08,37.4999610000,126.9870780000
서울특별시 서초구청,서울특별시 서초구 신반포로 9,서울특별시 서초구 반포본동 1319,생활방범,5,2017-08,37.5031390000,126.9806170000
서울특별시 서초구청,서울특별시 서초구 신반포로3길 18,서울특별시 서초구 반포본동 816,생활방범,5,2017-02,37.5030710000,126.9859870000
서울특별시 서초구청,서울특별시 서초구 신반포로 32,서울특별시 서초구 반포본동 1012,생활방범,5,2017-07,37.4995570000,126.9900870000
서울특별시 서초구청,서울특별시 서초구 주흥1길 28,서울특별시 서초구 반포1동 744-4,생활방범,1,2017-12,37.5036270000,127.0192760000
서울특별시 서초구청,서울특별시 서초구 주흥길 31,서울특별시 서초구 반포1동 728-47,생활방범,4,2017-12,37.5057640000,127.0193510000
서울특별시 서초구청,서울특별시 서초구 강남대로83길 53,서울특별시 서초구 반포1동 740,생활방범,1,2017-02,37.5049850000,127.0211090000
서울특별시 서초구청,서울특별시 서초구 사평대로55길 42,서울특별시 서초구 반포1동 738,생활방범,1,2017-12,37.5059370000,127.0221220000
서울특별시 서초구청,서울특별시 서초구 사평대로55길 42,서울특별시 서초구 반포1동 724-15,생활방범,4,2017-12,37.5083780000,127.0218100000
서울특별시 서초구청,서울특별시 서초구 주흥9길 11,서울특별시 서초구 반포1동 727,생활방범,5,2017-12,37.5068070000,127.0193760000
서울특별시 서초구청,서울특별시 서초구 주흥길 77,서울특별시 서초구 반포1동 701-59,생활방범,5,2017-02,37.5093370000,127.0186260000
서울특별시 서초구청,서울특별시 서초구 주흥17길 19,서울특별시 서초구 반포1동 701-31,생활방범,3,2017-12,37.5092200000,127.0176140000
서울특별시 서초구청,서울특별시 서초구 사평대로53길 97,서울특별시 서초구 반포1동 718-16,생활방범,4,2017-12,37.5083280000,127.0200570000
서울특별시 서초구청,서울특별시 서초구 주흥11길 12-2,서울특별시 서초구 반포1동 717-24,생활방범,5,2017-06,37.5079590000,127.0188860000
서울특별시 서초구청,서울특별시 서초구 주흥10길 3,서울특별시 서초구 반포1동 719-16,생활방범,5,2017-06,37.5070640000,127.0200280000
서울특별시 서초구청,서울특별시 서초구 주흥7길 10-32,서울특별시 서초구 반포1동 728-7,생활방범,4,2017-06,37.5060640000,127.0185040000
서울특별시 서초구청,서울특별시 서초구 사평대로55길 87,서울특별시 서초구 반포1동 720-35,생활방범,4,2017-08,37.5076550000,127.0211500000
서울특별시 서초구청,서울특별시 서초구 주홍길 9,서울특별시 서초구 반포1동 742-21,생활방범,5,2017-08,37.5043990000,127.0204860000
서울특별시 서초구청,서울특별시 서초구 주흥13길 12,서울특별시 서초구 반포1동 711-11,생활방범,4,2017-02,37.5086000000,127.0185250000
서울특별시 서초구청,서울특별시 서초구 -,서울특별시 서초구 반포1동 30-5,생활방범,5,2017-02,37.5035280000,127.0156360000
서울특별시 서초구청,서울특별시 서초구 신반포로 318,서울특별시 서초구 반포1동 703-1,생활방범,4,2017-07,37.5098680000,127.0184960000
서울특별시 서초구청,서울특별시 서초구 주흥길 41,서울특별시 서초구 반포동 727-14,생활방범,4,2017-07,37.5063680000,127.0199210000
서울특별시 서초구청,서울특별시 서초구 사평대로55길 123,서울특별시 서초구 반포1동 709-8,생활방범,5,2017-03,37.5091050000,127.0204730000
서울특별시 서초구청,서울특별시 서초구 강남대로79길 52-5,서울특별시 서초구 반포1동 741-15,생활방범,4,2017-03,37.5042700000,127.0213610000
서울특별시 서초구청,서울특별시 서초구 사평대로 371,서울특별시 서초구 반포1동 748-14,생활방범,2,2017-03,37.5044310000,127.0237650000
서울특별시 서초구청,서울특별시 서초구 주흥11길 38-4,서울특별시 서초구 반포1동 714-19,생활방범,4,2017-11,37.5072300000,127.0179850000
서울특별시 서초구청,서울특별시 서초구 사평대로53길 43,서울특별시 서초구 반포1동 726-49,생활방범,3,2017-11,37.5062130000,127.0210660000
서울특별시 서초구청,서울특별시 서초구 사평대로57길 76,서울특별시 서초구 반포1동 723-21,생활방범,4,2017-11,37.5074690000,127.0221150000
서울특별시 서초구청,서울특별시 서초구 사평대로57길 108,서울특별시 서초구 반포1동 722-25,생활방범,3,2017-10,37.5086630000,127.0213380000
서울특별시 서초구청,서울특별시 서초구 동작대로172,서울특별시 서초구 방배본동 783-26,교통단속,1,2017-11,37.4916720000,126.9829330000
서울특별시 서초구청,서울특별시 서초구 방배로43길5,서울특별시 서초구 방배본동 772-1,교통단속,1,2017-11,37.4961320000,126.9881100000
서울특별시 서초구청,서울특별시 서초구 방배중앙로207-10,서울특별시 서초구 방배본동 752-36,교통단속,1,2017-06,37.4975690000,126.9851620000
서울특별시 서초구청,서울특별시 서초구 방배로239,서울특별시 서초구 방배본동 774-19,교통단속,3,2017-05,37.4936360000,126.9890030000
